origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
WHOLE_SALE,9,white,S,freetime,,natural,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,L,freetime,,crepe,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,M,freetime,,crepe,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,S,freetime,,crepe,,straight,,,floral,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,L,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,M,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,blue_light,S,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,L,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,M,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,S,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,L,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,M,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,S,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow,L,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow,M,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
WHOLE_SALE,9,yellow,S,freetime,,batiste,,straight,,,vertical_stripes,boho,tops,warm,2,False,
MAINSTREAM,9,black,L,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,black,M,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,black,S,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,black,XL,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,black,XS,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,crimson,L,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,crimson,XL,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,ecru,XL,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,khaki,XL,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,white,L,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,white,M,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,white,S,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,white,XL,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,white,XS,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
MAINSTREAM,9,white,XXL,freetime,,chiffon,,straight,,,smooth,classic,tops,warm,2,False,
